Image,VulnerabilityID,PkgName,InstalledVersion,Severity
ubuntu:latest,CVE-2016-2781,coreutils,9.4-3ubuntu6,LOW
ubuntu:latest,CVE-2022-3219,gpgv,2.4.4-2ubuntu17,LOW
ubuntu:latest,CVE-2016-20013,libc-bin,2.39-0ubuntu8.2,LOW
ubuntu:latest,CVE-2016-20013,libc6,2.39-0ubuntu8.2,LOW
ubuntu:latest,CVE-2024-2236,libgcrypt20,1.10.3-2build1,MEDIUM
ubuntu:latest,CVE-2020-22916,liblzma5,5.6.1+really5.4.5-1,MEDIUM
ubuntu:latest,CVE-2024-2511,libssl3t64,3.0.13-0ubuntu3.1,LOW
ubuntu:latest,CVE-2024-4603,libssl3t64,3.0.13-0ubuntu3.1,LOW
ubuntu:latest,CVE-2024-4741,libssl3t64,3.0.13-0ubuntu3.1,LOW
node:latest,CVE-2011-3374,apt,2.6.1,LOW
node:latest,TEMP-0841856-B18BAF,bash,5.2.15-2+b7,LOW
node:latest,CVE-2017-13716,binutils,2.40-2,LOW
node:latest,CVE-2018-18483,binutils,2.40-2,LOW
node:latest,CVE-2018-20673,binutils,2.40-2,LOW
node:latest,CVE-2018-20712,binutils,2.40-2,LOW
node:latest,CVE-2018-9996,binutils,2.40-2,LOW
node:latest,CVE-2021-32256,binutils,2.40-2,LOW
node:latest,CVE-2023-1972,binutils,2.40-2,LOW
node:latest,CVE-2017-13716,binutils-aarch64-linux-gnu,2.40-2,LOW
node:latest,CVE-2018-18483,binutils-aarch64-linux-gnu,2.40-2,LOW
node:latest,CVE-2018-20673,binutils-aarch64-linux-gnu,2.40-2,LOW
node:latest,CVE-2018-20712,binutils-aarch64-linux-gnu,2.40-2,LOW
node:latest,CVE-2018-9996,binutils-aarch64-linux-gnu,2.40-2,LOW
node:latest,CVE-2021-32256,binutils-aarch64-linux-gnu,2.40-2,LOW
node:latest,CVE-2023-1972,binutils-aarch64-linux-gnu,2.40-2,LOW
node:latest,CVE-2017-13716,binutils-common,2.40-2,LOW
node:latest,CVE-2018-18483,binutils-common,2.40-2,LOW
node:latest,CVE-2018-20673,binutils-common,2.40-2,LOW
node:latest,CVE-2018-20712,binutils-common,2.40-2,LOW
node:latest,CVE-2018-9996,binutils-common,2.40-2,LOW
node:latest,CVE-2021-32256,binutils-common,2.40-2,LOW
node:latest,CVE-2023-1972,binutils-common,2.40-2,LOW
node:latest,CVE-2022-0563,bsdutils,1:2.38.1-5+deb12u1,LOW
node:latest,CVE-2016-2781,coreutils,9.1-1,LOW
node:latest,CVE-2017-18018,coreutils,9.1-1,LOW
node:latest,CVE-2023-4039,cpp-12,12.2.0-14,MEDIUM
node:latest,CVE-2022-27943,cpp-12,12.2.0-14,LOW
node:latest,CVE-2024-2379,curl,7.88.1-10+deb12u6,LOW
node:latest,CVE-2022-3219,dirmngr,2.2.40-1.1,LOW
node:latest,CVE-2023-4039,g++-12,12.2.0-14,MEDIUM
node:latest,CVE-2022-27943,g++-12,12.2.0-14,LOW
node:latest,CVE-2023-4039,gcc-12,12.2.0-14,MEDIUM
node:latest,CVE-2022-27943,gcc-12,12.2.0-14,LOW
node:latest,CVE-2023-4039,gcc-12-base,12.2.0-14,MEDIUM
node:latest,CVE-2022-27943,gcc-12-base,12.2.0-14,LOW
node:latest,CVE-2024-32002,git,1:2.39.2-1.1,CRITICAL
node:latest,CVE-2023-25652,git,1:2.39.2-1.1,HIGH
node:latest,CVE-2023-29007,git,1:2.39.2-1.1,HIGH
node:latest,CVE-2024-32004,git,1:2.39.2-1.1,HIGH
node:latest,CVE-2024-32465,git,1:2.39.2-1.1,HIGH
node:latest,CVE-2018-1000021,git,1:2.39.2-1.1,LOW
node:latest,CVE-2022-24975,git,1:2.39.2-1.1,LOW
node:latest,CVE-2023-25815,git,1:2.39.2-1.1,LOW
node:latest,CVE-2024-32020,git,1:2.39.2-1.1,LOW
node:latest,CVE-2024-32021,git,1:2.39.2-1.1,LOW
node:latest,CVE-2024-32002,git-man,1:2.39.2-1.1,CRITICAL
node:latest,CVE-2023-25652,git-man,1:2.39.2-1.1,HIGH
node:latest,CVE-2023-29007,git-man,1:2.39.2-1.1,HIGH
node:latest,CVE-2024-32004,git-man,1:2.39.2-1.1,HIGH
node:latest,CVE-2024-32465,git-man,1:2.39.2-1.1,HIGH
node:latest,CVE-2018-1000021,git-man,1:2.39.2-1.1,LOW
node:latest,CVE-2022-24975,git-man,1:2.39.2-1.1,LOW
node:latest,CVE-2023-25815,git-man,1:2.39.2-1.1,LOW
node:latest,CVE-2024-32020,git-man,1:2.39.2-1.1,LOW
node:latest,CVE-2024-32021,git-man,1:2.39.2-1.1,LOW
node:latest,CVE-2022-3219,gnupg,2.2.40-1.1,LOW
node:latest,CVE-2022-3219,gnupg-l10n,2.2.40-1.1,LOW
node:latest,CVE-2022-3219,gnupg-utils,2.2.40-1.1,LOW
node:latest,CVE-2022-3219,gpg,2.2.40-1.1,LOW
node:latest,CVE-2022-3219,gpg-agent,2.2.40-1.1,LOW
node:latest,CVE-2022-3219,gpg-wks-client,2.2.40-1.1,LOW
node:latest,CVE-2022-3219,gpg-wks-server,2.2.40-1.1,LOW
node:latest,CVE-2022-3219,gpgconf,2.2.40-1.1,LOW
node:latest,CVE-2022-3219,gpgsm,2.2.40-1.1,LOW
node:latest,CVE-2022-3219,gpgv,2.2.40-1.1,LOW
node:latest,CVE-2005-0406,imagemagick,8:6.9.11.60+dfsg-1.6+deb12u1,LOW
node:latest,CVE-2008-3134,imagemagick,8:6.9.11.60+dfsg-1.6+deb12u1,LOW
node:latest,CVE-2016-8678,imagemagick,8:6.9.11.60+dfsg-1.6+deb12u1,LOW
node:latest,CVE-2017-11754,imagemagick,8:6.9.11.60+dfsg-1.6+deb12u1,LOW
node:latest,CVE-2017-11755,imagemagick,8:6.9.11.60+dfsg-1.6+deb12u1,LOW
node:latest,CVE-2017-7275,imagemagick,8:6.9.11.60+dfsg-1.6+deb12u1,LOW
node:latest,CVE-2018-15607,imagemagick,8:6.9.11.60+dfsg-1.6+deb12u1,LOW
node:latest,CVE-2021-20311,imagemagick,8:6.9.11.60+dfsg-1.6+deb12u1,LOW
node:latest,CVE-2023-34152,imagemagick,8:6.9.11.60+dfsg-1.6+deb12u1,LOW
node:latest,CVE-2005-0406,imagemagick-6-common,8:6.9.11.60+dfsg-1.6+deb12u1,LOW
node:latest,CVE-2008-3134,imagemagick-6-common,8:6.9.11.60+dfsg-1.6+deb12u1,LOW
node:latest,CVE-2016-8678,imagemagick-6-common,8:6.9.11.60+dfsg-1.6+deb12u1,LOW
node:latest,CVE-2017-11754,imagemagick-6-common,8:6.9.11.60+dfsg-1.6+deb12u1,LOW
node:latest,CVE-2017-11755,imagemagick-6-common,8:6.9.11.60+dfsg-1.6+deb12u1,LOW
node:latest,CVE-2017-7275,imagemagick-6-common,8:6.9.11.60+dfsg-1.6+deb12u1,LOW
node:latest,CVE-2018-15607,imagemagick-6-common,8:6.9.11.60+dfsg-1.6+deb12u1,LOW
node:latest,CVE-2021-20311,imagemagick-6-common,8:6.9.11.60+dfsg-1.6+deb12u1,LOW
node:latest,CVE-2023-34152,imagemagick-6-common,8:6.9.11.60+dfsg-1.6+deb12u1,LOW
node:latest,CVE-2005-0406,imagemagick-6.q16,8:6.9.11.60+dfsg-1.6+deb12u1,LOW
node:latest,CVE-2008-3134,imagemagick-6.q16,8:6.9.11.60+dfsg-1.6+deb12u1,LOW
node:latest,CVE-2016-8678,imagemagick-6.q16,8:6.9.11.60+dfsg-1.6+deb12u1,LOW
node:latest,CVE-2017-11754,imagemagick-6.q16,8:6.9.11.60+dfsg-1.6+deb12u1,LOW
node:latest,CVE-2017-11755,imagemagick-6.q16,8:6.9.11.60+dfsg-1.6+deb12u1,LOW
node:latest,CVE-2017-7275,imagemagick-6.q16,8:6.9.11.60+dfsg-1.6+deb12u1,LOW
node:latest,CVE-2018-15607,imagemagick-6.q16,8:6.9.11.60+dfsg-1.6+deb12u1,LOW
node:latest,CVE-2021-20311,imagemagick-6.q16,8:6.9.11.60+dfsg-1.6+deb12u1,LOW
node:latest,CVE-2023-34152,imagemagick-6.q16,8:6.9.11.60+dfsg-1.6+deb12u1,LOW
node:latest,CVE-2024-26462,krb5-multidev,1.20.1-2+deb12u1,HIGH
